id,name,capacity,grass,city,state
3689,Cramton Bowl,25000,False,Montgomery,AL
5939,Cressy Field,1850,,Dartmouth,MA
4737,Croke Park Stadium,82300,False,Dublin,
4463,Crusader Stadium,7671,,Belton,TX
6100,Cutler Field,2200,,Olivet,MI
1905,DakotaDome,9100,False,Vermillion,SD
5831,Dale Lippert Field,1500,,Franklin,MA
5799,Daly Field at Frank R. Campbell Stadium,1200,,Danville,VA
3910,Darrell K Royal-Texas Memorial Stadium,100119,False,Austin,TX
5638,Dave Wolk Stadium,5000,,Castleton,VT
5925,David Person Field,3700,,Williamsport,PA
5901,David Smith Stadium at Ramer Field,2300,,River Falls,WI
3693,Davis Wade Stadium,61337,True,Starkville,MS
6105,Day Field,5000,,Ashland,VA
3691,D. B. Milne Field,5000,False,Jacksonville,FL
5834,Deeds Field-Piper Stadium,3000,,Granville,OH
3694,DeGol Field,3500,False,Loretto,PA
3695,Delaware Stadium,22000,False,Newark,DE
6098,Dial-Roberson Stadium,3500,,Ada,OH
5785,Dickerson Stadium,5000,,Institute,WV
4258,Dignity Health Sports Park,48114,True,Carson,CA
3696,Dix Stadium,25319,False,Kent,OH
5787,Docking Stadium,3000,,Adrian,MI
6121,Donald J. Schneider Stadium,2454,,De Pere,WI
3887,Donald W. Reynolds Razorback Stadium Frank Broyles Field,80000,False,Fayetteville,AR
5900,Don and Nona Williams Stadium,4500,,Menomonie,WI
5931,Don Drumm Stadium,5000,,Marietta,OH
3698,Donnell Stadium,7500,,Findlay,OH
5863,Don Shula Stadium at Wasmer Field,5416,,University Heights,OH
3699,Dowdy-Ficklen Stadium,50000,True,Greenville,NC
3700,Doyt Perry Stadium,24000,False,Bowling Green,OH
6087,Drake Field (NY),1500,,Morrisville,NY
3701,Drake Stadium,14557,False,Des Moines,IA
3995,Dr. John W. Winkin Sports Complex,3000,,Bangor,ME
6048,Duane Stadium,3500,,North Andover,MA
3702,Durham County Memorial Stadium,8500,,Durham,NC
3703,Durham County Stadium,0,,Raleigh,NC
5943,Duvall-Rosier Field,5000,,Fairmont,WV
6045,Dwight T. Reed Stadium,5500,,Jefferson City,MO
3705,Earl Kitchings Stadium,8000,,Jacksonville,FL
6107,ECAV Stadium,5200,,Troy,NY
3706,Eccles Coliseum,10000,False,Cedar City,UT
2068,E. Claiborne Robins Stadium,8217,False,Richmond,VA
3902,Eddie Robinson Stadium,19600,False,Grambling,LA
5795,Edor Nelson Field,1400,,Minneapolis,MN
5808,Edward C. Swenson Athletic Complex,1560,,Bridgewater,MA
4757,Edwards-Maurer Field,3000,False,Springfield,OH
6050,Ed Widseth Field,2000,,Crookston,MN
3717,Edwin Fauver Stadium,5111,,Rochester,NY
4439,Eiler-Martin Stadium,6000,,East Stroudsburg,PA
3704,E. J. Whitmire Stadium,13742,False,Cullowhee,NC
7075,Electric Supply Company Field,3500,,Wilson,NC
5845,Elliot Field Athletic Complex,1200,,Fitchburg,MA
5880,Elliott Field at Don Beebe Stadium,3500,,Chadron,NE
6133,Ellis Oval at Zimman Field,1000,,Medford,MA
5858,England Stadium,1468,,Jacksonville,IL
3710,Ernest W. Spangler Stadium,9000,False,Boiling Springs,NC
5819,Ernie Chapman Stadium,2000,,Orange,CA
3711,Estes Stadium,10000,False,Conway,AR
3712,EverBank Field,67858,True,Jacksonville,FL
3713,Falcon Stadium,46692,False,Colorado Springs,CO
3714,Fargodome,18700,False,Fargo,ND
6151,Farley-Lamb Field,1400,,Williamstown,MA
5934,Farmers Insurance Athletic Complex,2000,,Caledonia,MI
5818,Farris Stadium,3000,,Danville,KY
5915,Farwell Field,2000,,Lake Forest,IL
3838,Faurot Field,71168,False,Columbia,MO
3715,FAU Stadium,29419,False,Boca Raton,FL
3719,FedEx Field,82000,True,Landover,MD
