team,stat_name,stat_value,season
Boise State,kickReturnYards,541,2020
San José State,netPassingYards,2387,2020
Liberty,firstDowns,273,2020
Georgia,fourthDowns,13,2020
Troy,fumblesRecovered,6,2020
West Virginia,turnovers,12,2020
Texas A&M,passAttempts,301,2020
Georgia State,passCompletions,179,2020
Clemson,possessionTime,21885,2020
Louisiana,rushingTDs,25,2020
Utah,interceptions,7,2020
New Mexico,netPassingYards,1386,2020
Texas State,rushingYards,1577,2020
Auburn,passesIntercepted,9,2020
Bowling Green,possessionTime,7922,2020
Missouri,possessionTime,18411,2020
Fresno State,kickReturns,21,2020
LSU,kickReturnYards,320,2020
Notre Dame,puntReturns,14,2020
NC State,fumblesLost,4,2020
Maryland,sacks,13,2020
Northern Illinois,puntReturns,3,2020
Michigan State,games,7,2020
Louisiana,puntReturns,23,2020
Florida,kickReturnYards,272,2020
Virginia,turnovers,19,2020
East Carolina,thirdDownConversions,43,2020
Southern Mississippi,passCompletions,169,2020
Ball State,thirdDownConversions,56,2020
UAB,firstDowns,145,2020
UT San Antonio,totalYards,4984,2020
North Carolina,puntReturnTDs,0,2020
Cincinnati,sacks,29,2020
Charlotte,passCompletions,98,2020
Washington,turnovers,3,2020
Missouri,puntReturns,10,2020
Wake Forest,kickReturnYards,352,2020
Notre Dame,penalties,53,2020
Mississippi State,rushingAttempts,203,2020
UCLA,games,7,2020
Arizona State,rushingYards,1058,2020
Louisiana Tech,kickReturns,43,2020
Tulsa,netPassingYards,2274,2020
North Carolina,thirdDowns,141,2020
Central Michigan,rushingYards,1311,2020
Texas State,passingTDs,26,2020
Bowling Green,fumblesLost,4,2020
UTEP,passesIntercepted,2,2020
UAB,fumblesLost,7,2020
South Alabama,totalYards,3956,2020
Washington State,passAttempts,152,2020
Tennessee,passCompletions,179,2020
Memphis,interceptionTDs,0,2020
UCF,firstDowns,281,2020
San Diego State,turnovers,11,2020
Maryland,kickReturnYards,251,2020
Maryland,games,5,2020
Rutgers,passingTDs,14,2020
Kent State,fourthDowns,8,2020
Virginia,penaltyYards,483,2020
Wyoming,netPassingYards,920,2020
USC,penalties,40,2020
Rutgers,totalYards,3048,2020
Utah State,thirdDowns,91,2020
UT San Antonio,kickReturns,29,2020
Minnesota,sacks,8,2020
Clemson,fourthDownConversions,10,2020
Houston,fourthDownConversions,14,2020
NC State,puntReturnYards,130,2020
San Diego State,puntReturns,23,2020
Kentucky,kickReturnYards,298,2020
Arizona,totalYards,1911,2020
Nevada,interceptions,4,2020
Georgia,rushingAttempts,377,2020
Georgia Southern,kickReturns,21,2020
Penn State,kickReturns,18,2020
Florida,kickReturns,17,2020
Illinois,rushingAttempts,325,2020
Appalachian State,tacklesForLoss,66,2020
Fresno State,rushingYards,738,2020
Eastern Michigan,firstDowns,131,2020
Florida Atlantic,fourthDowns,24,2020
Virginia Tech,puntReturns,17,2020
UCF,fumblesRecovered,13,2020
Virginia Tech,passesIntercepted,12,2020
Appalachian State,passesIntercepted,15,2020
South Alabama,games,11,2020
UTEP,turnovers,15,2020
Washington,interceptionTDs,0,2020
Bowling Green,sacks,7,2020
Nevada,interceptionTDs,0,2020
Texas,tacklesForLoss,74,2020
San José State,interceptionYards,0,2020
Marshall,penaltyYards,627,2020
Georgia,passesIntercepted,9,2020
Arizona,tacklesForLoss,25,2020
Texas A&M,games,10,2020
Nevada,passesIntercepted,6,2020
Florida,turnovers,19,2020
Central Michigan,rushingTDs,15,2020
Florida Atlantic,turnovers,11,2020
Texas,fourthDowns,12,2020
Penn State,interceptionYards,18,2020
Florida State,firstDowns,185,2020
LSU,netPassingYards,3121,2020
BYU,kickReturnYards,330,2020
Colorado State,kickReturns,20,2020
Rice,puntReturns,8,2020
Temple,interceptionYards,45,2020
Texas,kickReturnTDs,1,2020
South Florida,rushingAttempts,337,2020
Temple,interceptionTDs,0,2020
Minnesota,totalYards,2744,2020
Georgia Tech,fourthDownConversions,9,2020
NC State,thirdDowns,161,2020
Syracuse,possessionTime,16182,2020
South Carolina,passingTDs,8,2020
UNLV,possessionTime,10538,2020
Oregon,passesIntercepted,5,2020
Utah,kickReturns,4,2020
Ole Miss,sacks,16,2020
UCF,interceptions,4,2020
Stanford,thirdDownConversions,40,2020
Ball State,kickReturns,23,2020
West Virginia,passAttempts,401,2020
Boston College,kickReturns,23,2020
Oklahoma,rushingAttempts,419,2020
Georgia Southern,puntReturns,19,2020
Western Michigan,fumblesLost,4,2020
Utah,kickReturnYards,113,2020
Oklahoma State,penaltyYards,602,2020
Tulsa,puntReturns,15,2020
Rice,firstDowns,107,2020
Nevada,games,9,2020
West Virginia,netPassingYards,2775,2020
Colorado,kickReturns,14,2020
Ohio State,rushingYards,2050,2020
Louisiana Tech,thirdDowns,154,2020
Oklahoma,passesIntercepted,16,2020
North Texas,passesIntercepted,7,2020
Troy,kickReturns,39,2020
Colorado,fourthDowns,7,2020
LSU,rushingAttempts,362,2020
South Carolina,rushingAttempts,365,2020
