play_id,game_id,week,season,team,opponent,team_score,opponent_score,yards_to_goal,down,distance,stat_type,stat
401235996104936701,401235996,4,2020,Kansas State,Oklahoma,35,35,61,1,10,Completion,23
401235996104936701,401235996,4,2020,Kansas State,Oklahoma,35,35,61,1,10,Reception,23
401235996104936704,401235996,4,2020,Kansas State,Oklahoma,35,35,41,2,13,Incompletion,1
401235996104936704,401235996,4,2020,Kansas State,Oklahoma,35,35,41,2,13,Target,1
401235996104936705,401235996,4,2020,Kansas State,Oklahoma,35,35,41,3,13,Completion,9
401235996104936705,401235996,4,2020,Kansas State,Oklahoma,35,35,41,3,13,Reception,9
401235993101947508,401235993,4,2020,Kansas,Baylor,7,7,51,2,4,Rush,-4
401235993104959904,401235993,4,2020,Kansas,Baylor,14,47,75,1,10,Rush,5
401235993104959905,401235993,4,2020,Kansas,Baylor,14,47,70,2,5,Rush,6
401235993104959907,401235993,4,2020,Kansas,Baylor,14,47,64,2,10,Rush,4
401235993104974505,401235993,4,2020,Kansas,Baylor,14,47,52,1,15,Rush,11
401235993104974508,401235993,4,2020,Kansas,Baylor,14,47,32,1,10,Rush,6
401235993104974509,401235993,4,2020,Kansas,Baylor,14,47,26,2,4,Rush,8
401235993104974510,401235993,4,2020,Kansas,Baylor,14,47,18,1,10,Rush,11
401235993104959906,401235993,4,2020,Kansas,Baylor,14,47,64,1,10,Incompletion,1
401235993104959906,401235993,4,2020,Kansas,Baylor,14,47,64,1,10,Target,1
401235993104974506,401235993,4,2020,Kansas,Baylor,14,47,41,2,4,Incompletion,1
401235993104974506,401235993,4,2020,Kansas,Baylor,14,47,41,2,4,Target,1
401235993104974507,401235993,4,2020,Kansas,Baylor,14,47,41,3,4,Completion,9
401235993104974507,401235993,4,2020,Kansas,Baylor,14,47,41,3,4,Reception,9
401235993104974503,401235993,4,2020,Kansas,Baylor,14,47,60,4,6,Completion,13
401235993104974503,401235993,4,2020,Kansas,Baylor,14,47,60,4,6,Reception,13
401235993104974502,401235993,4,2020,Kansas,Baylor,14,47,60,3,6,Incompletion,1
401235993104974502,401235993,4,2020,Kansas,Baylor,14,47,60,3,6,Target,1
401235993104974511,401235993,4,2020,Kansas,Baylor,14,47,7,1,7,Incompletion,1
401235993104974512,401235993,4,2020,Kansas,Baylor,14,47,7,2,7,Completion,1
401235993104974512,401235993,4,2020,Kansas,Baylor,14,47,7,2,7,Reception,1
401235993104874906,401235993,4,2020,Kansas,Baylor,7,40,54,1,10,Rush,8
401235993104874908,401235993,4,2020,Kansas,Baylor,7,40,45,3,1,Rush,13
401235993104874903,401235993,4,2020,Kansas,Baylor,7,40,63,2,7,Incompletion,1
401235993104874905,401235993,4,2020,Kansas,Baylor,7,40,57,4,1,Completion,3
401235993104874905,401235993,4,2020,Kansas,Baylor,7,40,57,4,1,Reception,3
401235993104874909,401235993,4,2020,Kansas,Baylor,7,40,32,1,10,Incompletion,1
401235993104874909,401235993,4,2020,Kansas,Baylor,7,40,32,1,10,Target,1
401235993104874914,401235993,4,2020,Kansas,Baylor,7,40,35,1,25,Completion,19
401235993104874914,401235993,4,2020,Kansas,Baylor,7,40,35,1,25,Reception,19
401235993104874911,401235993,4,2020,Kansas,Baylor,7,40,27,3,5,Completion,7
401235993104874911,401235993,4,2020,Kansas,Baylor,7,40,27,3,5,Reception,7
401235993104929601,401235993,4,2020,Kansas,Baylor,14,40,16,2,6,Rush,16
401235993104929601,401235993,4,2020,Kansas,Baylor,14,40,16,2,6,Touchdown,1
401235993104874910,401235993,4,2020,Kansas,Baylor,7,40,32,2,10,Rush,5
401235993104874904,401235993,4,2020,Kansas,Baylor,7,40,63,3,7,Rush,6
401235993104874902,401235993,4,2020,Kansas,Baylor,7,40,66,1,10,Rush,3
401235993104874907,401235993,4,2020,Kansas,Baylor,7,40,46,2,2,Rush,1
401235993104866101,401235993,4,2020,Kansas,Baylor,7,31,99,1,10,Rush,1
401235993101947508,401235993,4,2020,Kansas,Baylor,7,7,51,2,4,Fumble,1
401235993101905701,401235993,4,2020,Kansas,Baylor,7,0,54,1,10,Rush,0
401235993101905704,401235993,4,2020,Kansas,Baylor,7,0,45,4,1,Rush,0
401235993101905702,401235993,4,2020,Kansas,Baylor,7,0,54,2,10,Incompletion,1
401235993101905702,401235993,4,2020,Kansas,Baylor,7,0,54,2,10,Target,1
401235993101905703,401235993,4,2020,Kansas,Baylor,7,0,54,3,10,Completion,9
401235993101905703,401235993,4,2020,Kansas,Baylor,7,0,54,3,10,Reception,9
401235993101849902,401235993,4,2020,Kansas,Baylor,0,0,79,1,10,Rush,2
401235993101849903,401235993,4,2020,Kansas,Baylor,0,0,77,2,8,Rush,10
401235993101849904,401235993,4,2020,Kansas,Baylor,0,0,67,1,10,Rush,1
401235993101849905,401235993,4,2020,Kansas,Baylor,0,0,66,2,9,Rush,-4
401235993101849908,401235993,4,2020,Kansas,Baylor,0,0,28,1,10,Rush,7
401235993101887001,401235993,4,2020,Kansas,Baylor,7,0,21,2,3,Rush,21
401235993101887001,401235993,4,2020,Kansas,Baylor,7,0,21,2,3,Touchdown,1
401235993101849907,401235993,4,2020,Kansas,Baylor,0,0,51,1,10,Completion,23
401235993101849907,401235993,4,2020,Kansas,Baylor,0,0,51,1,10,Reception,23
401235993101849906,401235993,4,2020,Kansas,Baylor,0,0,70,3,13,Completion,4
401235993101849906,401235993,4,2020,Kansas,Baylor,0,0,70,3,13,Reception,4
401235993103849905,401235993,4,2020,Kansas,Baylor,7,24,87,1,20,Completion,8
401235993103849905,401235993,4,2020,Kansas,Baylor,7,24,87,1,20,Reception,8
401235993103849907,401235993,4,2020,Kansas,Baylor,7,24,71,3,4,Sack Taken,7
401235993103849906,401235993,4,2020,Kansas,Baylor,7,24,79,2,12,Completion,8
401235993103849906,401235993,4,2020,Kansas,Baylor,7,24,79,2,12,Reception,8
401235993102989001,401235993,4,2020,Kansas,Baylor,7,17,72,1,10,Completion,5
401235993102989001,401235993,4,2020,Kansas,Baylor,7,17,72,1,10,Reception,5
401235993102989002,401235993,4,2020,Kansas,Baylor,7,17,67,2,5,Completion,7
401235993102989002,401235993,4,2020,Kansas,Baylor,7,17,67,2,5,Reception,7
401235993102989004,401235993,4,2020,Kansas,Baylor,7,17,65,1,15,Incompletion,1
401235993102989004,401235993,4,2020,Kansas,Baylor,7,17,65,1,15,Target,1
401235993102989005,401235993,4,2020,Kansas,Baylor,7,17,65,2,15,Completion,17
401235993102989005,401235993,4,2020,Kansas,Baylor,7,17,65,2,15,Reception,17
401235993102989006,401235993,4,2020,Kansas,Baylor,7,17,33,1,10,Incompletion,1
401235993102989006,401235993,4,2020,Kansas,Baylor,7,17,33,1,10,Target,1
401235993102989007,401235993,4,2020,Kansas,Baylor,7,17,33,2,10,Incompletion,1
401235993102989007,401235993,4,2020,Kansas,Baylor,7,17,33,2,10,Target,1
401235993102989008,401235993,4,2020,Kansas,Baylor,7,17,33,3,10,Completion,-1
401235993102989008,401235993,4,2020,Kansas,Baylor,7,17,33,3,10,Reception,-1
401235993102998002,401235993,4,2020,Kansas,Baylor,7,17,34,4,11,Sack Taken,5
401235993102958604,401235993,4,2020,Kansas,Baylor,7,17,84,1,10,Rush,4
401235993102958606,401235993,4,2020,Kansas,Baylor,7,17,62,1,10,Rush,2
401235993102958605,401235993,4,2020,Kansas,Baylor,7,17,80,2,6,Rush,18
401235993102958608,401235993,4,2020,Kansas,Baylor,7,17,61,3,9,Incompletion,1
