id,first_name,last_name,position,team_id
1061,Kevin,Salvadori,,26
1062,Evric,Gray,,3
1063,Moochie,Norris,,15
1064,Devin,Gray,,26
1065,Martin,Muursepp,,16
1066,Gaylon,Nickerson,,27
1067,Marcus,Brown,,25
1068,Robert,Werdann,,3
1069,Ruben,Nembhard,,29
1070,Jamie,Feick,,4
1071,Jason,Sasser,,27
1072,Tony,Farmer,,16
1073,Shawnelle,Scott,,6
1074,Brian,Evans,,22
1075,Steve,Hamer,,2
1076,Dexter,Boney,,24
1077,Michael,Hawkins,,2
1078,Joe,Stephens,,11
1079,Horacio,Llamas,,24
1080,Jimmy,Carruth,,17
1081,Bruce,Bowen,,16
1082,Stevin,Smith,,7
1083,Matt,Steigenga,,5
1084,Kevin,Ollie,,7
1085,Bubba,Wells,,7
1086,Antonio,Daniels,G,15
1087,Tracy,McGrady,,28
1088,Chris,Garner,,28
1089,Tim,Duncan,F,27
1090,Tony,Battie,F,8
1091,Bobby,Jackson,G,8
1092,Danny,Fortson,,8
1093,Eric,Washington,,8
1094,Etdrick,Bohannon,,12
1095,Mark,Pope,,12
1096,Ron,Mercer,G,2
1097,Chauncey,Billups,,2
1098,John,Thomas,,2
1099,Kelvin,Cato,,25
1100,Alvin,Williams,,25
1101,Maurice,Taylor,,13
1102,Keith,Closs,,13
1103,Adonal,Foyle,,10
1104,DeJuan,Wheat,,18
1105,Ed,Gray,,1
1106,Chris,Crawford,,1
1107,Zydrunas,Ilgauskas,C,6
1108,Derek,Anderson,G,6
1109,Brevin,Knight,,6
1110,Cedric,Henderson,,6
1111,Rodrick,Rhodes,,11
1112,Jacque,Vaughn,,29
1113,Troy,Hudson,,29
1114,Jerald,Honeycutt,,17
1115,Jeff,Nordgaard,,17
1116,Tim,Thomas,,23
1117,God,Shammgod,,30
1118,Scot,Pollard,,9
1119,Keith,Van Horn,,3
1120,Michael,Stewart,,26
1121,Anthony,Johnson,,26
1122,Derek,Grimm,,26
1123,Lawrence,Funderburke,,26
1124,Chris,Anstey,,7
1125,Rick,Brunson,,25
1126,Travis,Williams,,4
1127,Tariq,Abdul-Wahad,,26
1128,Charles,Smith,,16
1129,Keith,Booth,,5
1130,Ed,Stokes,,28
1131,Charles,O'Bannon,,9
1132,Austin,Croshere,,12
1133,Rusty,LaRue,,5
1134,Kiwane,Garris,,8
1135,Marko,Milic,,24
1136,Johnny,Taylor,,22
1137,James,Cotton,,21
1138,James,Collins,,13
1139,Anthony,Parker,,23
1140,Jason,Lawson,,22
1141,Kebu,Stewart,,23
1142,Kelly,McCarty,,12
1143,Drew,Barry,,1
1144,Michael,McDonald,,4
1145,Brandon,Williams,,10
1146,William,Cunningham,,29
1147,Shea,Seals,,14
1148,Reggie,Hanson,,2
1149,Rashard,Lewis,,21
1150,Jelani,McCoy,,21
1151,Vladimir,Stepania,,21
1152,Larry,Hughes,,23
1153,Casey,Shaw,,23
1154,Nazr,Mohammed,,23
1155,Ricky,Davis,,4
1156,Brad,Miller,,4
1157,Mikki,Moore,,9
1158,Michael,Doleac,,22
1159,Matt,Harpring,,22
1160,Miles,Simon,,22
1161,Jason,Williams,G,26
1162,Peja,Stojakovic,,26
1163,Jerome,James,,26
1164,Peter,Aluma,,26
1165,Gerard,King,,27
1166,Mark,Baker,,28
1167,Sean,Marks,,28
1168,Paul,Pierce,F,2
1169,Marlon,Garnett,,2
1170,Jahidi,White,,30
1171,Randell,Jackson,,30
1172,Al,Harrington,,12
1173,Shammond,Williams,,1
1174,Jeff,Sheppard,,1
1175,Roshown,McLeod,,1
1176,Pat,Garrity,,24
1177,Gerald,Brown,,24
1178,Toby,Bailey,,24
1179,Michael,Olowokandi,,13
1180,Tyrone,Nesby,,13
1181,Michael,Dickerson,G,11
1182,Bryce,Drew,,11
1183,John,Coker,,11
1184,Cuttino,Mobley,,11
1185,Ruben,Patterson,,14
1186,Sam,Jacobson,,14
1187,Tyronn,Lue,,14
1188,Kornel,David,,5
1189,Cory,Carr,,5
1190,Corey,Benjamin,,5
1191,Paul,Grant,,18
1192,Andrae,Patterson,,18
1193,Raef,LaFrentz,C,8
1194,Keon,Clark,,8
1195,Tyson,Wheeler,,8
1196,Robert,Traylor,,17
1197,Earl,Boykins,,3
1198,Antawn,Jamison,,10
1199,Mike,Bibby,G,15
1200,Felipe,Lopez,,15
1201,J.R.,Henderson,,15
1202,Bonzi,Wells,,25
1203,Damon,Jones,,3
1204,Charles,R. Jones,,5
1205,Ryan,Stack,,6
1206,Brian,Skinner,,13
1207,Jonathan,Kerner,,22
1208,Korleone,Young,,9
1209,Trevor,Winter,,18
1210,Bruno,Sundov,,7
1211,Mirsad,Turkcan,,20
1212,Alvin,Sims,,24
1213,Rasho,Nesterovic,,18
1214,Todd,MacCulloch,,23
1215,Jumaine,Jones,,23
1216,Lamar,Odom,F,13
1217,Obinna,Ekezie,,15
1218,Milt,Palacio,,15
1219,Devean,George,,14
1220,Quincy,Lewis,,29
1221,Scott,Padgett,,29
1222,Andre,Miller,,6
1223,Trajan,Langdon,,6
1224,Anthony,Carter,,16
1225,Rodney,Buford,,16
1226,Shawn,Marion,G,24
1227,James,Posey,F,8
1228,Ryan,Bowen,,8
1229,Adrian,Griffin,F,2
1230,Wayne,Turner,,2
1231,Aleksandar,Radojevic,,28
1232,Steve,Francis,G,11
1233,Kenny,Thomas,,11
1234,Vonteego,Cummings,G,10
1235,Corey,Maggette,,22
1236,Chucky,Atkins,,22
1237,Baron,Davis,,4
1238,Jason,Miskiri,,4
1239,Eddie,Robinson,,4
1240,Derek,Hood,,4
1241,Jeff,Foster,,12
