id,season,home_id,home_team,away_id,away_team
401450190,2022,2394,Middlebury,348,Hamilton
401423430,2022,46,Georgetown,2598,St Francis (PA)
401411157,2022,259,Virginia Tech,59,Georgia Tech
401432972,2022,389,Upper Iowa,2851,Winona State
401432536,2022,2234,Franklin & Marshall,323,Moravian
401432587,2022,89,Wabash College,352,Kenyon
401431309,2022,2832,St. Norbert,101,Eureka College
401431037,2022,2175,Dickinson,118,Johns Hopkins
401439538,2022,471,Stevenson,398,Wilkes
401432614,2022,83,DePauw,391,Oberlin
401432579,2022,2274,Hiram,125974,Hilbert College
401431115,2022,390,Utica,365,Alfred
401431205,2022,2651,Trine,2812,Hope
401432748,2022,2062,Bethany (WV),2018,Allegheny
401438553,2022,548,LaGrange College,2896,Southern Virginia
401437213,2022,2085,Buffalo State,174,Hobart
401435129,2022,121,Bates College,2977,Trinity (CT)
401418650,2022,2630,UT Martin,338,Kennesaw State
401415203,2022,108,Harvard,171,Columbia
401424410,2022,48,Delaware,2405,Monmouth
401438691,2022,2827,Rowan,2818,Montclair State
401435192,2022,2398,Millsaps,386,Trinity (TX)
401441934,2022,2422,Muhlenberg,216,Susquehanna
401439523,2022,2782,SUNY Cortland,374,St. John Fisher
401441949,2022,122774,Keystone,2951,SUNY Maritime
401441261,2022,336,Wesleyan,2731,Williams
401431565,2022,128,Northern Michigan,129,Saginaw Valley
401431507,2022,2654,Truman State,2816,McKendree
401431549,2022,2273,Hillsdale,2392,Michigan Tech
401431559,2022,2886,Northwood (MI),2477,Ohio Dominican
401435193,2022,2257,Greenville,109418,Finlandia University
401444602,2022,7,Amherst College,340,Bowdoin
401432789,2022,2614,St. Vincent,2845,Waynesburg
401432716,2022,2516,Randolph-Macon,366,Ferrum
401432622,2022,2746,Wittenberg,2980,Ohio Wesleyan
401432357,2022,2119,Central State,2310,Kentucky State
401432872,2022,2047,Averett,2258,Guilford
401431065,2022,2702,Western New England,111675,University of New England
401444118,2022,2583,Southern Connecticut State,126086,Post University
401425428,2022,112358,Long Island University,2115,Central Connecticut
401432724,2022,2828,Shenandoah,297,Hampden-Sydney
401430985,2022,2685,Wartburg,2564,Simpson College
401431958,2022,2438,Nebraska-Kearney,2122,Central Oklahoma
401432125,2022,455,WV Wesleyan,341,Frostburg State
401433135,2022,2369,Mars Hill,2839,Tusculum
401432959,2022,2364,Minnesota State,2587,Southwest Minnesota State
401433028,2022,209,Lock Haven,2559,Shippensburg
401435052,2022,2222,Ferris State,110254,Davenport
401433056,2022,215,Slippery Rock,2205,Edinboro
401432108,2022,112335,Wheeling Jesuit,2128,Charleston (WV)
401432338,2022,2019,Allen,490,Benedict College
401445231,2022,2075,Bowie State,2339,Lincoln (PA)
401431192,2022,2790,Albion,354,Olivet College
401430994,2022,2913,Brevard College,2056,Belhaven College
401431185,2022,2800,Alma College,2003,Adrian
401432635,2022,3112,Christopher Newport,2442,College of New Jersey
401435117,2022,2748,Wooster,2171,Denison
401432420,2022,2817,Minnesota St-Moorhead,3066,Concordia-St. Paul
401432381,2022,2441,New Haven,112334,Franklin Pierce
401432652,2022,203,Linfield,2930,Willamette
401450196,2022,2871,Kean,2532,Salisbury
401432764,2022,2849,Westminster PA,2963,Case Western Reserve
401432848,2022,446,Martin Luther College,433,Westminster
401418842,2022,282,Indiana State,155,North Dakota
401424391,2022,2261,Hampton,2729,William & Mary
401424443,2022,227,Rhode Island,311,Maine
401432776,2022,2686,Washington & Jefferson,146,Grove City College
401430973,2022,2964,Central,67,Luther
401415410,2022,172,Cornell,219,Pennsylvania
401418608,2022,163,Princeton,159,Dartmouth
401422993,2022,2142,Colgate,322,Lafayette
401422984,2022,2083,Bucknell,2230,Fordham
401420785,2022,2619,Stony Brook,2415,Morgan State
401423150,2022,2166,Davidson,56,Stetson
401431407,2022,2506,Presbyterian College,2168,Dayton
401442046,2022,284,Stonehill,2681,Wagner
401445810,2022,33,Colby,112,Tufts
401445126,2022,2700,McDaniel College,2248,Gettysburg
401433047,2022,2188,East Stroudsburg,2974,Shepherd
401430721,2022,2940,Livingstone,2304,Johnson C Smith
401432692,2022,359,Otterbein,427,Ohio Northern
401432669,2022,191,Heidelberg,188,Baldwin-Wallace
401432678,2022,426,Mount Union,2302,John Carroll
401431125,2022,2233,Franklin,2419,Mount St. Joseph
401438677,2022,2733,Wilmington (OH),332,Muskingum
401435183,2022,317,Marietta,424,Capital
401425517,2022,2569,South Carolina State,2169,Delaware State
401439525,2022,190,Defiance,2362,Manchester
401433406,2022,2074,Bluffton,2023,Anderson (IN)
401431924,2022,2118,Central Missouri State,137,Missouri Western
401431106,2022,143,Washington (MO),396,Wheaton College (Ill)
401431021,2022,2588,Southwestern University,2639,Texas Lutheran
401431092,2022,306,Illinois Wesleyan,3071,North Central
401433097,2022,2424,New Mexico Highlands,2146,Colorado Mines
401413210,2022,2717,Western Carolina,2747,Wofford
401420813,2022,233,South Dakota,2623,Missouri State
401420838,2022,2710,Western Illinois,2449,North Dakota State
401420804,2022,2428,North Carolina Central,47,Howard
401432098,2022,2148,Concord,2017,Alderson-Broaddus
401433107,2022,2237,Fort Lewis,2714,Western State
401432362,2022,2657,Tuskegee,2396,Miles
401432330,2022,2013,Albany State (GA),2232,Fort Valley State
401431004,2022,2758,Howard Payne,2371,Mary Hardin-Baylor
401432964,2022,2894,Sioux Falls,2844,Wayne State (NE)
401424445,2022,119,Towson,222,Villanova
401432351,2022,60,Morehouse,2805,Clark Atlanta
401415648,2022,218,Temple,58,South Florida
401441940,2022,2781,Brockport State (NY),3110,Morrisville State
401432985,2022,2071,Bloomsburg,210,Millersville
401431013,2022,2194,East Texas Baptist,2834,Sul Ross State
401433122,2022,2107,Catawba,2331,Lenoir-Rhyne
401431934,2022,2231,Fort Hays State,196,Northeastern State
