team,stat_name,stat_value,season
West Virginia,fourthDowns,19,2004
Miami,possessionTime,13051,2004
Wisconsin,thirdDowns,189,2004
Miami,firstDowns,215,2004
San Diego State,firstDowns,218,2004
Miami (OH),possessionTime,14537,2004
Ohio,turnovers,22,2004
Louisiana Monroe,puntReturns,34,2004
Washington,fourthDowns,24,2004
Auburn,fourthDownConversions,6,2004
UNLV,fumblesRecovered,11,2004
New Mexico,puntReturnYards,220,2004
Colorado State,firstDowns,220,2004
Cincinnati,passCompletions,218,2004
Louisville,thirdDowns,158,2004
Ball State,thirdDowns,180,2004
West Virginia,fumblesLost,11,2004
Marshall,games,12,2004
Kansas State,puntReturns,32,2004
Nevada,fumblesRecovered,14,2004
Georgia Tech,fumblesLost,13,2004
Nebraska,turnovers,36,2004
Air Force,interceptionYards,102,2004
Bowling Green,penalties,0,2004
UNLV,netPassingYards,1975,2004
Akron,penaltyYards,0,2004
Oregon State,thirdDowns,200,2004
Wisconsin,interceptionYards,92,2004
Georgia Tech,turnovers,31,2004
Indiana,fourthDowns,13,2004
Northern Illinois,possessionTime,12981,2004
Akron,puntReturnTDs,1,2004
Miami,penalties,0,2004
Iowa State,penaltyYards,0,2004
Texas A&M,penalties,0,2004
Louisiana Tech,rushingAttempts,490,2004
Cincinnati,thirdDowns,184,2004
Clemson,thirdDownConversions,49,2004
Louisiana Tech,thirdDowns,170,2004
Idaho,puntReturnTDs,0,2004
UCF,fumblesLost,17,2004
Texas A&M,fumblesLost,9,2004
Utah,penaltyYards,0,2004
Louisiana Tech,puntReturnYards,210,2004
LSU,passCompletions,179,2004
Northwestern,passCompletions,249,2004
Florida,puntReturns,41,2004
UNLV,fourthDowns,20,2004
Northern Illinois,puntReturnTDs,1,2004
SMU,fumblesRecovered,5,2004
Texas,rushingAttempts,615,2004
Florida A&M,fourthDownConversions,0,2004
Fresno State,turnovers,22,2004
Eastern Michigan,puntReturnYards,175,2004
Texas,interceptionYards,209,2004
Utah,rushingYards,2849,2004
TCU,fumblesLost,6,2004
Southern Mississippi,possessionTime,12862,2004
Buffalo,thirdDownConversions,31,2004
Wyoming,thirdDowns,193,2004
Boston College,totalYards,4625,2004
Clemson,passAttempts,328,2004
Utah State,rushingTDs,7,2004
Ball State,fumblesRecovered,12,2004
Clemson,fumblesRecovered,5,2004
West Virginia,puntReturns,30,2004
Bowling Green,puntReturns,29,2004
Penn State,turnovers,25,2004
Vanderbilt,games,11,2004
West Virginia,fumblesRecovered,9,2004
UNLV,interceptionTDs,0,2004
LSU,puntReturnTDs,1,2004
Texas,possessionTime,14149,2004
UCF,interceptionYards,159,2004
Pittsburgh,rushingTDs,10,2004
Marshall,interceptions,15,2004
Arkansas,games,11,2004
Louisville,firstDowns,323,2004
Kansas,rushingTDs,6,2004
Idaho,interceptions,14,2004
Kent State,turnovers,25,2004
Vanderbilt,puntReturns,17,2004
Kansas,penalties,0,2004
Western Michigan,passingTDs,23,2004
Idaho,possessionTime,13955,2004
Florida,passCompletions,243,2004
Washington,interceptionYards,74,2004
Louisville,fumblesRecovered,11,2004
LSU,fumblesLost,16,2004
Syracuse,interceptionYards,253,2004
Florida,fumblesRecovered,8,2004
Arizona,possessionTime,12151,2004
Florida A&M,passCompletions,113,2004
BYU,puntReturns,38,2004
Eastern Michigan,fumblesLost,9,2004
Wake Forest,penaltyYards,0,2004
Oklahoma State,passAttempts,201,2004
South Carolina,passingTDs,13,2004
Northern Illinois,passAttempts,305,2004
Central Michigan,passingTDs,16,2004
Tulsa,interceptionYards,90,2004
Ohio,games,11,2004
Michigan,fumblesLost,10,2004
UCLA,interceptions,13,2004
Connecticut,puntReturnYards,417,2004
Miami (OH),fourthDowns,20,2004
Navy,rushingYards,3474,2004
Colorado State,rushingTDs,13,2004
Michigan State,passingTDs,16,2004
Pittsburgh,interceptionTDs,4,2004
New Mexico State,firstDowns,216,2004
UNLV,passesIntercepted,6,2004
Boston College,games,12,2004
Clemson,passesIntercepted,10,2004
Central Michigan,rushingYards,1869,2004
South Florida,netPassingYards,1954,2004
Toledo,fumblesRecovered,13,2004
Toledo,puntReturns,10,2004
Louisiana Monroe,interceptionYards,120,2004
Georgia,thirdDownConversions,65,2004
Akron,passCompletions,223,2004
Cincinnati,firstDowns,251,2004
UAB,puntReturnTDs,1,2004
Navy,fumblesRecovered,7,2004
Virginia Tech,games,13,2004
Fresno State,passAttempts,298,2004
Nebraska,possessionTime,11207,2004
Notre Dame,interceptionYards,201,2004
USC,netPassingYards,3695,2004
Miami (OH),thirdDownConversions,64,2004
